"Year","Age","n","mx","ax","qx","lx","dx","Lx","Tx","ex"
2019,0,1,0.00612172935901428,0.0700438128,0.006087076,100000,608.707600000009,99433.9286011843,8068351.93614422,80.6835193614422
2019,1,4,0.000416238819446877,1.519475204716,0.001663238,99391.2924,165.311374388795,397155.110636886,7968918.00754304,80.1772249370916
2019,5,5,0.000187087463389134,2.5,0.000935,99225.9810256112,92.7762922589463,495897.964397409,7571762.89690615,76.3082694536606
2019,10,5,0.000150856873041137,2.5,0.000754,99133.2047333522,74.7464363689505,495479.157575839,7075864.93250874,71.3773447710215
2019,15,5,0.000218668274222323,2.5,0.001092744,99058.4582969833,108.245535953276,495021.677645033,6580385.77493291,66.4293174763987
2019,20,5,0.000303912732065748,2.5,0.00151841,98950.21276103,150.246992558474,494375.446323754,6085364.09728787,61.4992522753271
2019,25,5,0.000320926077450362,2.5,0.001603344,98799.9657684715,158.410332315078,493603.80301157,5590988.65096412,56.5889735636759
2019,30,5,0.000451067682186147,2.5,0.002252798,98641.5554361565,222.219498803461,492652.228433774,5097384.84795255,51.6758360653763
2019,35,5,0.000680768847034562,2.5,0.003398061,98419.335937353,334.434907094619,491260.592419029,4604732.61951877,46.786869426246
2019,40,5,0.00107652267621434,2.5,0.005368166,98084.9010302584,526.536030824005,489108.165074232,4113472.02709975,41.9378720261009
2019,45,5,0.00150413990291304,2.5,0.007492525,97558.3649994344,730.958488717384,485964.428775379,3624363.86202551,37.1507236929045
2019,50,5,0.00254437592340787,2.5,0.012641468,96827.406510717,1224.04056092822,481076.931151264,3138399.43325014,32.4123050110071
2019,55,5,0.00410109063601041,2.5,0.02029735,95603.3659497888,1940.49497986095,473165.592299292,2657322.50209887,27.7952818470273
2019,60,5,0.00687718816867071,2.5,0.033804737,93662.8709699278,3166.24871980335,460398.733050131,2184156.90979958,23.319346152659
2019,65,5,0.0117811003110234,2.5,0.057220209,90496.6222501245,5178.23563894618,439537.522153257,1723758.17674945,19.0477626003006
2019,70,5,0.0220428124322747,2.5,0.104457708,85318.3866111783,8912.16311566158,404311.525266738,1284220.65459619,15.0520972747501
2019,75,5,0.0385977190131323,2.5,0.176005106,76406.2234955167,13447.8854653881,348411.403814113,879909.129329455,11.5161970985398
2019,80,5,0.0738869927564572,2.5,0.311833808,62958.3380301286,19632.5382932862,265710.344417428,531497.725515341,8.44205457362921
2019,85,5,0.121225497153545,2.5,0.465155668,43325.7997368424,20153.2413182251,166245.895388649,265787.381097914,6.13462146601531
2019,90,5,0.188610766761754,2.5,0.640867539,23172.5584186172,14850.540486073,78736.4408779038,99541.4857092645,4.295662305
2019,95,5,0.4,2.5,1,8322.01793254428,8322.01793254428,20805.0448313607,20805.0448313607,2.5
