"Year","Age","n","mx","ax","qx","lx","dx","Lx","Tx","ex"
2019,0,1,0.00742426002775966,0.064789311828,0.007373067,100000,737.306700000001,99310.4628936992,7472810.18561131,74.7281018561131
2019,1,4,0.000454451666805169,1.645886526976,0.001815864,99262.6933,180.247551306515,396626.45001099,7373499.72271761,74.2826884661774
2019,5,5,0.000318070921819613,2.5,0.001589091,99082.4457486935,157.451022797235,495018.601186474,6976873.27270663,70.4148269654378
2019,10,5,0.000263757004788361,2.5,0.001317916,98924.9947258962,130.374833349168,494299.036546108,6481854.67152015,65.5229215779109
2019,15,5,0.000480285193064342,2.5,0.002398546,98794.6198925471,236.963440364794,493380.690861823,5987555.63497404,60.6060901037561
2019,20,5,0.000788913699303537,2.5,0.003936804,98557.6564521823,388.002176151567,491818.276820533,5494174.94411222,55.7457953231452
2019,25,5,0.000872738234482971,2.5,0.004354191,98169.6542760307,427.449425121798,489779.647817349,5002356.66729169,50.9562420707543
2019,30,5,0.00122133378890678,2.5,0.00608808,97742.2048509089,595.062362508732,487223.368348273,4512577.01947434,46.1681525023668
2019,35,5,0.00176826691580076,2.5,0.008802422,97147.1424884002,855.130144277035,483597.887081308,4025353.65112606,41.435636170222
2019,40,5,0.00262175469710253,2.5,0.013023413,96292.0123441232,1254.05064535861,478324.935107219,3541755.76404476,36.7814076975297
2019,45,5,0.00341324395675262,2.5,0.016921824,95037.9616987645,1608.21566118523,471169.26934086,3063430.82893754,32.233759796401
2019,50,5,0.0053219657707586,2.5,0.026260436,93429.7460375793,2453.5058663161,461014.965522106,2592261.55959668,27.7455700088708
2019,55,5,0.00821457454577898,2.5,0.040246356,90976.2401712632,3661.46214947416,445727.545482631,2131246.59407457,23.4264088080854
2019,60,5,0.0130717642030064,2.5,0.063290524,87314.7780217891,5526.19805394272,422758.394974088,1685519.04859194,19.3039378531241
2019,65,5,0.0209075177308923,2.5,0.099344948,81788.5799678463,8125.28222389954,388629.694279483,1262760.65361785,15.4393272766722
2019,70,5,0.0377064054138658,2.5,0.172290855,73663.2977439468,12691.5125504242,336587.707343674,874130.959338369,11.8665738041873
2019,75,5,0.0631505520698713,2.5,0.272699889,60971.7851935226,16626.9990544055,263291.4283316,537543.251994695,8.81626231360209
2019,80,5,0.114498806939328,2.5,0.445088717,44344.7861391172,19737.363968299,172380.520774838,274251.823663096,6.1845336857127
2019,85,5,0.224936815470333,2.5,0.719870585,24607.4221708181,17714.1593934488,78751.7123704686,101871.302888258,4.13986081845934
2019,90,5,0.283300465128947,2.5,0.829211978,6893.26277736931,5715.97606249618,20176.3737306061,23119.5905177889,3.35394011
2019,95,5,0.4,2.5,1,1177.28671487313,1177.28671487313,2943.21678718283,2943.21678718283,2.5
