"","Year","Country","Country_code","Sex","Type","X0","X1","X5","X10","X15","X20","X25","X30","X35","X40","X45","X50","X55","X60","X65","X70","X75","X80","X85","X90","X95"
"5",2019,"China","CHN","m","Total","59757.3306","16130.62421","12498.49458","10116.72576","19289.35348","33749.7634","49219.58797","79779.20022","90882.68585","135985.9097","211040.6153","334127.1167","391344.4108","514635.4951","718419.7255","873972.935","884445.1001","950026.5164","693472.9038","133778.9272","13878.57604"
"6",2019,"China","CHN","m","PM","5598.646624","310.7875906","119.6045644","57.91174045","63.22158547","77.56594223","3172.976547","7354.619676","10432.36147","18372.28709","30992.29733","53978.81828","66376.40527","91457.0127","131699.814","164896.704","164214.7572","169363.8173","113922.6584","19228.18739","1605.344989"
"7",2019,"China","CHN","m","aPM","4013.385492","223.8098117","86.51541041","41.59762347","46.28445899","57.8017371","2620.104555","6146.777749","8688.931427","15139.1731","25384.40569","44216.02047","54571.33383","75503.48711","108409.6677","135370.9863","134425.6784","139925.2452","95459.04637","16387.64894","1397.291265"
"8",2019,"China","CHN","m","HAP","1585.261133","86.97777892","33.08915399","16.31411698","16.93712648","19.76420513","552.8719921","1207.841927","1743.43004","3233.113992","5607.891644","9762.797805","11805.07144","15953.52558","23290.14627","29525.71767","29789.07883","29438.57209","18463.612","2840.53845","208.0537232"
"9",2019,"China","CHN","m","OT","54158.683976","15819.8366194","12378.8900156","10058.81401955","19226.13189453","33672.19745777","46046.611423","72424.580544","80450.32438","117613.62261","180048.31797","280148.29842","324968.00553","423178.4824","586719.9115","709076.231","720230.3429","780662.6991","579550.2454","114550.73981","12273.231051"
